year,panel,gram_canonical,total_words,total
1987,1: Birth of conservation,natural history,8232279,407
1988,1: Birth of conservation,natural history,9127375,598
1989,1: Birth of conservation,natural history,9187930,484
1990,1: Birth of conservation,natural history,9827250,484
1991,1: Birth of conservation,natural history,10692126,622
1992,1: Birth of conservation,natural history,11532841,643
1993,1: Birth of conservation,natural history,11863228,564
1994,1: Birth of conservation,natural history,12424547,724
1995,1: Birth of conservation,natural history,13968243,736
1996,1: Birth of conservation,natural history,15100715,836
1997,1: Birth of conservation,natural history,15395967,856
1998,1: Birth of conservation,natural history,16912010,845
1999,1: Birth of conservation,natural history,16924957,754
2000,1: Birth of conservation,natural history,18064233,1028
2001,1: Birth of conservation,natural history,19322097,1003
2002,1: Birth of conservation,natural history,18790584,929
2003,1: Birth of conservation,natural history,20408258,1082
2004,1: Birth of conservation,natural history,20858212,1168
2005,1: Birth of conservation,natural history,21777074,1159
2006,1: Birth of conservation,natural history,23460538,1162
2007,1: Birth of conservation,natural history,23407699,1129
2008,1: Birth of conservation,natural history,26392520,1188
2009,1: Birth of conservation,natural history,26767306,1123
2010,1: Birth of conservation,natural history,23931224,1120
2011,1: Birth of conservation,natural history,24867009,1044
1920,1: Birth of conservation,preservation,630090,28
1921,1: Birth of conservation,preservation,589125,28
1922,1: Birth of conservation,preservation,536084,9
1923,1: Birth of conservation,preservation,711435,25
1924,1: Birth of conservation,preservation,684937,21
1925,1: Birth of conservation,preservation,860483,27
1926,1: Birth of conservation,preservation,824677,14
1927,1: Birth of conservation,preservation,797713,19
1928,1: Birth of conservation,preservation,889702,16
1929,1: Birth of conservation,preservation,880254,17
1930,1: Birth of conservation,preservation,940855,21
1931,1: Birth of conservation,preservation,1279796,47
1932,1: Birth of conservation,preservation,1186501,31
1933,1: Birth of conservation,preservation,898679,16
1934,1: Birth of conservation,preservation,1224182,16
1935,1: Birth of conservation,preservation,1180563,44
1936,1: Birth of conservation,preservation,1205270,22
1937,1: Birth of conservation,preservation,1333413,46
1938,1: Birth of conservation,preservation,1096306,16
1939,1: Birth of conservation,preservation,977570,12
1940,1: Birth of conservation,preservation,1030652,23
1941,1: Birth of conservation,preservation,870866,24
1942,1: Birth of conservation,preservation,923110,22
1943,1: Birth of conservation,preservation,781624,5
1944,1: Birth of conservation,preservation,802533,13
1945,1: Birth of conservation,preservation,695500,8
1946,1: Birth of conservation,preservation,906932,4
1947,1: Birth of conservation,preservation,1034692,32
1948,1: Birth of conservation,preservation,906817,19
1949,1: Birth of conservation,preservation,949573,7
1950,1: Birth of conservation,preservation,1257239,24
1951,1: Birth of conservation,preservation,1272147,37
1952,1: Birth of conservation,preservation,1338935,31
1953,1: Birth of conservation,preservation,1246757,18
1954,1: Birth of conservation,preservation,1348685,22
1955,1: Birth of conservation,preservation,1510331,61
1956,1: Birth of conservation,preservation,1486176,12
1957,1: Birth of conservation,preservation,1535449,55
1958,1: Birth of conservation,preservation,1709098,35
1959,1: Birth of conservation,preservation,1586959,45
1960,1: Birth of conservation,preservation,1782508,25
1961,1: Birth of conservation,preservation,1765657,47
1962,1: Birth of conservation,preservation,1753664,39
1963,1: Birth of conservation,preservation,1844840,37
1964,1: Birth of conservation,preservation,2285016,93
1965,1: Birth of conservation,preservation,2366519,55
1966,1: Birth of conservation,preservation,2646845,50
1967,1: Birth of conservation,preservation,2436421,80
1968,1: Birth of conservation,preservation,2817575,163
1969,1: Birth of conservation,preservation,3165729,42
1970,1: Birth of conservation,preservation,3398488,71
1971,1: Birth of conservation,preservation,3876617,82
1972,1: Birth of conservation,preservation,3861897,72
1973,1: Birth of conservation,preservation,3944110,86
1974,1: Birth of conservation,preservation,4327880,78
1975,1: Birth of conservation,preservation,4926792,128
1976,1: Birth of conservation,preservation,4851135,119
1977,1: Birth of conservation,preservation,5986495,133
1978,1: Birth of conservation,preservation,5653233,130
1979,1: Birth of conservation,preservation,5693994,162
1980,1: Birth of conservation,preservation,6331998,111
1981,1: Birth of conservation,preservation,6748054,196
1982,1: Birth of conservation,preservation,6661455,123
1983,1: Birth of conservation,preservation,7131449,169
1984,1: Birth of conservation,preservation,7405435,118
1985,1: Birth of conservation,preservation,7790280,478
1986,1: Birth of conservation,preservation,7205017,120
1987,1: Birth of conservation,preservation,8232279,223
1988,1: Birth of conservation,preservation,9127375,202
